ADX_THRESHOLD_LONG,ADX_THRESHOLD_SHORT,ROC_THRESHOLD_LONG,ROC_THRESHOLD_SHORT,TARGET_MULTIPLIER,STOP_LOSS_ATR_MULT,MAX_HOLDING_DAYS,PARTIAL_EXIT_THRESHOLD,sharpe_oos,n_trades
30,35,0.8,0.8,1.5,1.0,7,0.05,1.830528617066501,324
30,30,0.8,0.8,1.5,1.0,7,0.05,1.8175005868356602,342
30,35,0.8,1.2,1.5,1.0,5,0.07,1.8088101512471966,324
30,30,0.8,1.2,1.5,1.0,5,0.07,1.7967798312786374,342
30,35,0.8,0.5,1.5,1.0,7,0.05,1.7965410763980973,327
30,30,0.8,0.5,1.5,1.0,7,0.05,1.7952772454637818,345
30,30,0.8,1.2,2.0,1.0,7,0.07,1.7826705354802024,330
30,35,0.8,1.2,2.0,1.0,7,0.05,1.7816681357853088,312
30,30,0.8,1.2,2.0,1.0,7,0.1,1.7748597144865192,330
20,35,0.8,1.2,2.0,1.0,3,0.05,1.7678703209877469,456
20,30,0.8,1.2,2.0,1.0,3,0.05,1.7593721013932748,474
30,35,0.8,0.8,1.5,1.0,5,0.1,1.7476352089478662,327
30,30,0.8,1.2,2.0,1.0,7,0.05,1.7396633035348832,330
30,35,0.8,0.8,2.0,1.0,7,0.1,1.739055505049508,315
30,30,0.8,0.8,1.5,1.0,5,0.1,1.7357720049242251,345
30,35,0.8,0.8,2.0,1.0,7,0.07,1.7300096325413437,315
30,30,0.8,0.5,1.5,1.0,5,0.1,1.71294407233411,348
30,35,0.8,0.5,1.5,1.0,5,0.1,1.712357798237639,330
30,35,0.8,1.2,1.5,1.0,5,0.05,1.707494333742114,324
30,35,0.8,0.5,2.0,1.0,7,0.1,1.7063521907662922,318
20,35,0.8,0.8,2.0,1.0,3,0.05,1.7055352881785637,459
30,35,0.8,0.8,1.5,1.0,5,0.07,1.7045963071161863,327
30,30,0.8,1.2,1.5,1.0,5,0.05,1.7003770012759392,342
30,35,0.8,0.5,2.0,1.0,7,0.07,1.698014483659709,318
20,30,0.8,0.8,2.0,1.0,3,0.05,1.6970370685840914,477
